"County","Pop_2000","Pop_2001","Pop_2002","Pop_2003","Pop_2004","Pop_2005","Pop_2006","Pop_2007","Pop_2008","Pop_2009","Pop_2010","Pop_2011","Pop_2012","Pop_2013","Pop_2014","Pop_2015","Pop_2016","Pop_2017","Pop_2018","Pop_2019","Pop_2020","Pop_2021","Pop_2022","Pop_2023","Pop_2024","Pop_2025","Pop_2026","Pop_2027","Pop_2028","Pop_2029","Pop_2030","Pop_2031","Pop_2032","Pop_2033","Pop_2034","Pop_2035","Pop_2036","Pop_2037","Pop_2038","Pop_2039","Pop_2040","Pop_2041","Pop_2042","Pop_2043","Pop_2044","Pop_2045","Pop_2046","Pop_2047","Pop_2048","Pop_2049","Pop_2050"
"Adams",351734,359437,371181,377665,385945,395384,407587,415915,425138,436323,443709,451749,460064,469477,479777,489923,497673,509473,520398,531445,542609,553884,565265,576745,588314,599961,611672,623434,635231,647046,658865,670672,682452,694192,705879,717502,729054,740535,751943,763278,774542,785740,797398,809023,820624,832210,843790,855369,866951,878541,890148
"Alamosa",15097,15231,15266,15360,15406,15395,15350,15293,15346,15301,15454,15679,15687,15804,15845,15968,16131,16308,16505,16706,16910,17121,17323,17515,17707,17899,18096,18295,18494,18693,18894,19097,19300,19504,19711,19919,20130,20341,20550,20757,20963,21168,21370,21571,21769,21965,22160,22354,22547,22740,22934
"Arapahoe",490722,501671,510503,516354,523715,528214,536051,545882,556246,566480,574808,585507,595776,607145,617936,629066,637254,646725,656214,666264,676371,686523,696711,706936,717203,727520,737882,748246,758610,768962,779283,789551,799748,809850,819851,829740,840016,850199,860292,868745,877068,883712,886549,889091,891342,893317,895036,896515,897771,898835,899738
"Archuleta",10042,10465,10700,10964,11171,11402,11798,12108,12074,11899,12082,12003,12109,12211,12258,12417,12907,13152,13422,13689,13953,14213,14468,14719,14966,15207,15469,15772,16119,16509,16942,17418,17917,18412,18910,19406,19894,20389,20879,21372,21859,22343,22823,23300,23774,24245,24715,25182,25646,26110,26571
"Baca",4500,4447,4315,4258,4166,4098,4088,3993,3906,3814,3765,3799,3746,3679,3624,3594,3557,3545,3531,3515,3497,3476,3453,3429,3404,3380,3355,3331,3308,3284,3262,3241,3220,3200,3180,3161,3143,3126,3109,3094,3078,3064,3049,3036,3022,3010,2997,2984,2972,2960,2949
"Bent",5966,5882,6203,6653,6357,6261,6076,5773,6008,6481,6523,6304,5778,5708,5747,5847,5626,5661,5713,5766,5818,5859,5911,5958,6010,6062,6102,6138,6162,6184,6206,6228,6250,6271,6291,6312,6331,6351,6371,6390,6408,6427,6446,6465,6484,6504,6524,6544,6565,6586,6607
"Boulder",276254,283510,284433,282763,283288,282910,286133,288757,291827,293641,295610,300171,305016,309971,313190,318570,321989,325607,329211,332818,336446,340098,343779,347998,352239,356510,360809,365121,368925,373024,377107,381170,385203,389197,393142,397034,400863,404630,408333,411969,415540,419043,422471,425825,429109,432331,435500,438628,441718,444787,447843
"Broomfield",38545,41387,42432,44960,46406,48251,51152,53328,54400,55378,56098,57211,58715,59975,61554,64656,66252,68552,70886,73246,75627,78029,80451,82889,85339,87799,90265,92746,95240,95691,96097,96454,96757,97007,97202,97342,97427,97461,97451,97402,97318,97206,97069,96912,96740,96557,96366,96170,95971,95769,95566
"Chaffee",16312,16410,16646,16794,16946,17022,16984,17238,17403,17604,17835,18012,18123,18281,18459,18603,19097,19391,19684,19976,20267,20557,20844,21129,21411,21691,21968,22294,22546,22795,23040,23378,23586,23814,24038,24264,24470,24672,24871,25067,25261,25452,25640,25827,26014,26200,26386,26574,26762,26952,27145
"Cheyenne",2214,2173,2162,2119,2070,2041,1977,1910,1898,1833,1811,1864,1875,1889,1847,1830,1853,1854,1852,1851,1850,1849,1848,1848,1848,1848,1849,1850,1851,1852,1848,1839,1830,1820,1810,1800,1790,1780,1769,1759,1749,1738,1728,1717,1706,1695,1684,1673,1662,1651,1641
