"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment","Pop2006","Pop2016","Percent_Change"
"Akron",925,"G",2412340,"G",61002,"G","Akron","G","CO0161001","G",NA,"x","Washington",1,"South Platte",1,40.163374,-103.220269,NA,"www.townofakron.com","G","",1803,1720,-4.6
"Alma",1530,"G",2412350,"G",47001,"G","Alma","G","CO0147001","G",NA,"x","Park",1,"South Platte",1,39.285945,-106.067034,NA,"http://www.townofalma.com/","G","",276,289,4.7
"Arriba",3235,"G",2411647,"G",37002,"G","Arriba","G","CO0137001","G",NA,"x","Lincoln",1,"South Platte",1,39.284338,-103.274051,NA,"https://www.colorado.gov/arriba","G","",205,200,-2.4
"Arvada",3455,"G",2409737,"G",64009,"G","Arvada","G","CO0130001","G",NA,"x","Adams, Jefferson",2,"Metro, South Platte",2,39.832067,-105.151037,NA,"http://arvada.org/","G","",103448,117260,13.4
"Ault",3950,"G",2411653,"G",62003,"G","Ault","G","CO0162125","G",NA,"x","Weld",1,"South Platte",1,40.589343,-104.740423,NA,"http://www.townofault.org/","G","New BNDSS ID; did not have an ID in original BNDSS",1426,1700,19.2
"Aurora",4000,"G",2409757,"G",64010,"G","Aurora","G","CO0103005","G",NA,"x","Adams, Arapahoe, Douglas",3,"Metro, South Platte",2,39.70837,-104.727501,NA,"https://www.auroragov.org/","G","",300522,361967,20.4
"Bennett",6090,"G",2411676,"G",64258,"G","Bennett","G","CO0101020","G",NA,"x","Adams, Arapahoe",2,"South Platte",1,39.736358,-104.428527,NA,"https://www.colorado.gov/townofbennett","G","",2256,2492,10.5
"Berthoud",6255,"G",2411681,"G",64237,"G","Berthoud","G","CO0135138","G",NA,"x","Larimer, Weld",2,"South Platte",1,40.307017,-105.041523,NA,"http://www.berthoud.org/","G","",4928,6242,26.7
"Bethune",6530,"G",2411684,"G",32001,"G","Bethune","G","CO0132001","G",NA,"x","Kit Carson",1,"South Platte",1,39.303822,-102.423414,NA,"","N","",218,234,7.3
"Black Hawk",7025,"G",2409856,"G",24001,"G","BlackHawk","G","CO0124147","G",NA,"x","Gilpin",1,"South Platte",1,39.804295,-105.494544,NA,"http://www.cityofblackhawk.org/","G","",110,128,16.4
"Boulder",7850,"G",2409883,"G",7006,"G","Boulder","G","CO0107152","G",NA,"x","Boulder",1,"South Platte",1,40.027293,-105.251551,NA,"https://bouldercolorado.gov/","G","",96358,107789,11.9
"Bow Mar",8070,"G",2411713,"G",64026,"G","BowMar","G","","M",NA,"x","Arapahoe, Jefferson",2,"Metro",1,39.625265,-105.051222,NA,"https://www.colorado.gov/townofbowmar","G","New BNDSS ID; did not have an ID in original BNDSS",829,971,17.1
"Brighton",8675,"G",2409911,"G",64029,"G","Brighton","G","CO0101025","G",NA,"x","Adams, Weld",2,"Metro, South Platte",2,39.971612,-104.796089,NA,"http://www.brightonco.gov/","G","",29842,38805,30
"Broomfield",9280,"G",2409919,"G",64030,"G","Broomfield","G","CO0107155","G",NA,"x","Broomfield",1,"Metro, South Platte",2,39.954161,-105.052589,NA,"https://www.broomfield.org/","G","",51152,66252,29.5
"Brush",9555,"G",2409926,"G",44001,"G","Brush","G","CO0144001","G",NA,"x","Morgan",1,"South Platte",1,40.258147,-103.632022,NA,"http://www.brushcolo.com/","G","",5488,5391,-1.8
"Burlington",10600,"G",2409946,"G",32004,"G","Burlington","G","CO0132005","G",NA,"x","Kit Carson",1,"South Platte",1,39.304205,-102.271483,NA,"http://www.burlingtoncolo.com/","G","",4031,3633,-9.9
"Castle Pines",12387,"G",2500981,"G",65986,"G","CastlePines","G","","M",NA,"x","Douglas",1,"Metro",1,39.462491,-104.8706,NA,"http://www.castlepinesgov.com/","G","New BNDSS ID; did not have an ID in original BNDSS",9758,10919,11.9
"Castle Rock",12415,"G",2413179,"G",18003,"G","CastleRock","G","CO0118010","G",NA,"x","Douglas",1,"Metro",1,39.376152,-104.853344,NA,"http://crgov.com/","G","",40444,57289,41.7
"Centennial",12815,"G",2409422,"G",3163,"G","Centennial","G","","M",NA,"x","Arapahoe",1,"Metro",1,39.592608,-104.86728,NA,"http://www.centennialco.gov/","G","New BNDSS ID; did not have an ID in original BNDSS",97355,109439,12.4
"Central City",12910,"G",2409427,"G",64263,"G","CentralCity","G","CO0124171","G",NA,"x","Clear Creek, Gilpin",2,"South Platte",1,39.797462,-105.516892,NA,"https://www.colorado.gov/centralcity","G","",532,733,37.8
"Cherry Hills Village",13845,"G",2409443,"G",3023,"G","CherryHlsVlg","G","","M",NA,"x","Arapahoe",1,"Metro",1,39.637547,-104.948028,NA,"https://www.cherryhillsvillage.com/","G","",5911,6428,8.7
"Cheyenne Wells",14175,"G",2413197,"G",9007,"G","CheyenneWells","G","CO0109006","G",NA,"x","Cheyenne",1,"South Platte",1,38.819202,-102.35203,NA,"http://townofcheyennewells.com/","G","New BNDSS ID; did not have an ID in original BNDSS",908,840,-7.5
"Columbine Valley",16385,"G",2413232,"G",3029,"G","ColumbineVly","G","","M",NA,"x","Arapahoe",1,"Metro",1,39.599294,-105.035295,NA,"http://www.columbinevalley.org/","G","New BNDSS ID; did not have an ID in original BNDSS",1223,1408,15.1
"Commerce City",16495,"G",2410212,"G",1005,"G","CommerceCity","G","","M",NA,"x","Adams",1,"Metro, South Platte",2,39.863975,-104.843441,NA,"http://www.c3gov.com/","G","New BNDSS ID; did not have an ID in original BNDSS",38732,53577,38.3
