MunicipalityName,FIPS_ID,FIPS_ID_Flag,GNIS_ID,GNIS_ID_Flag,DOLA_LG_ID,DOLA_LG_ID_Flag,OWF_ID,OWF_ID_Flag,PWS_ID,PWS_ID_Flag,DWR_WaterDistrict_ID,DWR_WaterDistrict_ID_Flag,County_CSV,NumCounty,IBCC_Basin_CSV,Num_IBCC_Basin,Latitude,Longitude,Lat_Long_Flag,Website,Website_Flag,Comment
Akron,00925,G,2412340,G,61002,G,Akron,G,CO0161001,G,,x,Washington,1,South Platte,1,40.163374,-103.220269,,www.townofakron.com,G,
Alma,01530,G,2412350,G,47001,G,Alma,G,CO0147001,G,,x,Park,1,South Platte,1,39.285945,-106.067034,,http://www.townofalma.com/,G,
Arriba,03235,G,2411647,G,37002,G,Arriba,G,CO0137001,G,,x,Lincoln,1,South Platte,1,39.284338,-103.274051,,https://www.colorado.gov/arriba,G,
Arvada,03455,G,2409737,G,64009,G,Arvada,G,CO0130001,G,,x,"Adams, Jefferson",2,"Metro, South Platte",2,39.832067,-105.151037,,http://arvada.org/,G,
Ault,03950,G,2411653,G,62003,G,Ault,G,CO0162125,G,,x,Weld,1,South Platte,1,40.589343,-104.740423,,http://www.townofault.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Aurora,04000,G,2409757,G,64010,G,Aurora,G,CO0103005,G,,x,"Adams, Arapahoe, Douglas",3,"Metro, South Platte",2,39.70837,-104.727501,,https://www.auroragov.org/,G,
Bennett,06090,G,2411676,G,64258,G,Bennett,G,CO0101020,G,,x,"Adams, Arapahoe",2,South Platte,1,39.736358,-104.428527,,https://www.colorado.gov/townofbennett,G,
Berthoud,06255,G,2411681,G,64237,G,Berthoud,G,CO0135138,G,,x,"Larimer, Weld",2,South Platte,1,40.307017,-105.041523,,http://www.berthoud.org/,G,
Bethune,06530,G,2411684,G,32001,G,Bethune,G,CO0132001,G,,x,Kit Carson,1,South Platte,1,39.303822,-102.423414,,,N,
Black Hawk,07025,G,2409856,G,24001,G,BlackHawk,G,CO0124147,G,,x,Gilpin,1,South Platte,1,39.804295,-105.494544,,http://www.cityofblackhawk.org/,G,
Boulder,07850,G,2409883,G,07006,G,Boulder,G,CO0107152,G,,x,Boulder,1,South Platte,1,40.027293,-105.251551,,https://bouldercolorado.gov/,G,
Bow Mar,08070,G,2411713,G,64026,G,BowMar,G,,M,,x,"Arapahoe, Jefferson",2,Metro,1,39.625265,-105.051222,,https://www.colorado.gov/townofbowmar,G,New BNDSS ID; did not have an ID in original BNDSS
Brighton,08675,G,2409911,G,64029,G,Brighton,G,CO0101025,G,,x,"Adams, Weld",2,"Metro, South Platte",2,39.971612,-104.796089,,http://www.brightonco.gov/,G,
Broomfield,09280,G,2409919,G,64030,G,Broomfield,G,CO0107155,G,,x,Broomfield,1,"Metro, South Platte",2,39.954161,-105.052589,,https://www.broomfield.org/,G,
Brush,09555,G,2409926,G,44001,G,Brush,G,CO0144001,G,,x,Morgan,1,South Platte,1,40.258147,-103.632022,,http://www.brushcolo.com/,G,
Burlington,10600,G,2409946,G,32004,G,Burlington,G,CO0132005,G,,x,Kit Carson,1,South Platte,1,39.304205,-102.271483,,http://www.burlingtoncolo.com/,G,
Castle Pines,12387,G,2500981,G,65986,G,CastlePines,G,,M,,x,Douglas,1,Metro,1,39.462491,-104.8706,,http://www.castlepinesgov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Castle Rock,12415,G,2413179,G,18003,G,CastleRock,G,CO0118010,G,,x,Douglas,1,Metro,1,39.376152,-104.853344,,http://crgov.com/,G,
Centennial,12815,G,2409422,G,03163,G,Centennial,G,,M,,x,Arapahoe,1,Metro,1,39.592608,-104.86728,,http://www.centennialco.gov/,G,New BNDSS ID; did not have an ID in original BNDSS
Central City,12910,G,2409427,G,64263,G,CentralCity,G,CO0124171,G,,x,"Clear Creek, Gilpin",2,South Platte,1,39.797462,-105.516892,,https://www.colorado.gov/centralcity,G,
Cherry Hills Village,13845,G,2409443,G,03023,G,CherryHlsVlg,G,,M,,x,Arapahoe,1,Metro,1,39.637547,-104.948028,,https://www.cherryhillsvillage.com/,G,
Cheyenne Wells,14175,G,2413197,G,09007,G,CheyenneWells,G,CO0109006,G,,x,Cheyenne,1,South Platte,1,38.819202,-102.35203,,http://townofcheyennewells.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Columbine Valley,16385,G,2413232,G,03029,G,ColumbineVly,G,,M,,x,Arapahoe,1,Metro,1,39.599294,-105.035295,,http://www.columbinevalley.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Commerce City,16495,G,2410212,G,01005,G,CommerceCity,G,,M,,x,Adams,1,"Metro, South Platte",2,39.863975,-104.843441,,http://www.c3gov.com/,G,New BNDSS ID; did not have an ID in original BNDSS
Crook,18640,G,2412389,G,38002,G,Crook,G,CO0138005,G,,x,Logan,1,South Platte,1,40.859165,-102.801366,,,N,New BNDSS ID; did not have an ID in original BNDSS
Dacono,19080,G,2410283,G,62007,G,Dacono,G,CO0162200,G,,x,Weld,1,South Platte,1,40.062017,-104.948282,,http://www.ci.dacono.co.us/,G,
Deer Trail,19630,G,2412415,G,03033,G,DeerTrail,G,CO0103030,G,,x,Arapahoe,1,South Platte,1,39.615363,-104.043303,,http://www.townofdeertrail.co/,G,New BNDSS ID; did not have an ID in original BNDSS
Denver,20000,G,2410324,G,16002,G,Denver,G,CO0116001,G,,x,Denver,1,"Metro, South Platte",2,39.761976,-104.875766,,http://www.denvergov.org/,G,
Eaton,22860,G,2412462,G,62008,G,Eaton,G,CO0162233,G,,x,Weld,1,South Platte,1,40.527223,-104.712559,,http://www.eatonco.org/,G,
Eckley,23025,G,2412464,G,63003,G,Eckley,G,CO0163001,G,,x,Yuma,1,South Platte,1,40.112252,-102.488307,,http://townofeckley.weebly.com/,G,
Edgewater,23135,G,2410399,G,30020,G,Edgewater,G,CO0130237,G,,x,Jefferson,1,Metro,1,39.750853,-105.062633,,http://www.edgewaterco.com/,G,
Elizabeth,23740,G,2412474,G,20004,G,Elizabeth,G,CO0120010,G,,x,Elbert,1,South Platte,1,39.361015,-104.606172,,http://www.townofelizabeth.org/,G,New BNDSS ID; did not have an ID in original BNDSS
