WaterProviderName,FIPS_ID,FIPS_ID_Flag,GNIS_ID,GNIS_ID_Flag,DOLA_LG_ID,DOLA_LG_ID_Flag,BNDSS_ID,BNDSS_ID_Flag,PWS_ID,PWS_ID_Flag,BusinessEntity_ID,BusinessEntity_ID_Flag,OWF_ID,OWF_ID_Flag,LocalGovtType,EntityStartYear,EntityStartYear_Flag,EntityEndYear,EntityEndYear_Flag,County_CSV,NumCounty,IBCC_Basin,Latitude,Longitude,Lat_Long_Flag,Website,Website_Flag,WaterEfficiencyPlan_URL,WaterForecast_URL,Comment
"Akron, Town of",925,G,2412340,G,61002,G,Akron,G,CO0161001,G,,N,Akron,G,Municipality,,x,,x,Washington,1,South Platte,40.163374,-103.220269,G,www.townofakron.com,G,None,,
"Alma, Town of",1530,G,2412350,G,47001,G,Alma,G,CO0147001,G,,N,Alma,G,Municipality,,x,,x,Park,1,South Platte,39.285945,-106.067034,G,http://www.townofalma.com/,G,None,,
"Arriba, Town of",3235,G,2411647,G,37002,G,Arriba,G,CO0137001,G,,N,Arriba,G,Municipality,,x,,x,Lincoln,1,South Platte,39.284338,-103.274051,G,https://www.colorado.gov/arriba,G,None,,
"Ault, Town of",3950,G,2411653,G,62003,G,,M,CO0162125,G,,N,Ault,C,Municipality,,x,,x,Weld,1,South Platte,40.589343,-104.740423,G,http://www.townofault.org/,G,None,,Not in the original BNDSS list
Bailey Water and Sanitation District,,N,,N,47002,G,BaileyWSD,G,CO0147010,G,,N,BaileyWSD,G,Water and Sanitation District,,x,,x,Park,1,South Platte,39.406667,-105.480359,G,http://baileywater-org.webs.com/,G,None,,Not in the Covered Entities database
"Bennett, Town of",6090,G,2411676,G,64258,G,Bennett,G,CO0101020,G,,N,Bennett,G,Municipality,,x,,x,"Adams, Arapahoe",2,South Platte,39.736358,-104.428527,G,https://www.colorado.gov/townofbennett,G,,,
"Berthoud, Town of",6255,G,2411681,G,64237,G,Berthoud,G,CO0135138,G,,N,Berthoud,G,Municipality,,x,,x,"Larimer, Weld",2,South Platte,40.307017,-105.041523,G,http://www.berthoud.org/,G,,,
"Bethune, Town of",6530,G,2411684,G,32001,G,Bethune,G,CO0132001,G,,N,Bethune,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.303822,-102.423414,G,,M,,,
"Black Hawk, City of",7025,G,2409856,G,24001,G,BlackHawk,G,CO0124147,G,,N,BlackHawk,G,Municipality,,x,,x,Gilpin,1,South Platte,39.804295,-105.494544,G,http://www.cityofblackhawk.org/,G,,,
"Boulder, City of",7850,G,2409883,G,7006,G,Boulder,G,CO0107152,G,,N,Boulder,G,Municipality,,x,,x,Boulder,1,South Platte,40.027293,-105.251551,G,https://bouldercolorado.gov/,G,https://www-static.bouldercolorado.gov/docs/WEP_October_Final-1-201610180831.pdf,,
"Broomfield, City and County of",9280,G,2409919,G,64030,G,Broomfield,G,CO0107155,G,,N,Broomfield,G,Municipality,,x,,x,Broomfield,1,South Platte,39.954161,-105.052589,G,https://www.broomfield.org/,G,None,,
"Brush, City of",9555,G,2409926,G,44001,G,Brush,G,CO0144001,G,,N,Brush,G,Municipality,,x,,x,Morgan,1,South Platte,40.258147,-103.632022,G,http://www.brushcolo.com/,G,,,
Buffalo Creek Water District,,N,,N,30146,G,BuffaloCreekWD,G,CO0130015,G,,N,BuffaloCreekWD,G,Water District,,x,,x,Jefferson,1,South Platte,39.38475,-105.269526,G,,M,None,,
"Burlington, City of",10600,G,2409946,G,32004,G,Burlington,G,CO0132005,G,,N,Burlington,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.304205,-102.271483,G,http://www.burlingtoncolo.com/,G,,,
