"County","Year","Population"
"Adams",2000,351734
"Alamosa",2000,15097
"Arapahoe",2000,490722
"Archuleta",2000,10042
"Baca",2000,4500
"Bent",2000,5966
"Boulder",2000,276254
"Broomfield",2000,38545
"Chaffee",2000,16312
"Cheyenne",2000,2214
"Clear Creek",2000,9360
"Conejos",2000,8407
"Costilla",2000,3673
"Crowley",2000,5128
"Custer",2000,3518
"Delta",2000,27910
"Denver",2000,556740
"Dolores",2000,1847
"Douglas",2000,180511
"Eagle",2000,43288
"El Paso",2000,519803
"Elbert",2000,20102
"Fremont",2000,46369
"Garfield",2000,44239
"Gilpin",2000,4807
"Grand",2000,12852
"Gunnison",2000,13988
"Hinsdale",2000,792
"Huerfano",2000,7826
"Jackson",2000,1574
"Jefferson",2000,526716
"Kiowa",2000,1612
"Kit Carson",2000,7975
"La Plata",2000,44578
"Lake",2000,7939
"Larimer",2000,253087
"Las Animas",2000,15286
"Lincoln",2000,6164
"Logan",2000,20656
"Mesa",2000,117649
"Mineral",2000,836
"Moffat",2000,13182
"Montezuma",2000,23852
"Montrose",2000,33579
"Morgan",2000,27250
"Otero",2000,20244
"Ouray",2000,3776
"Park",2000,14728
"Phillips",2000,4451
"Pitkin",2000,15763
"Prowers",2000,14452
"Pueblo",2000,141854
"Rio Blanco",2000,5967
"Rio Grande",2000,12429
"Routt",2000,20122
"Saguache",2000,5982
"San Juan",2000,574
"San Miguel",2000,6614
"Sedgwick",2000,2742
"Summit",2000,25708
"Teller",2000,21067
"Washington",2000,4942
"Weld",2000,183074
"Yuma",2000,9815
"Adams",2001,359437
"Alamosa",2001,15231
"Arapahoe",2001,501671
"Archuleta",2001,10465
"Baca",2001,4447
"Bent",2001,5882
"Boulder",2001,283510
"Broomfield",2001,41387
"Chaffee",2001,16410
"Cheyenne",2001,2173
"Clear Creek",2001,9464
"Conejos",2001,8365
"Costilla",2001,3741
"Crowley",2001,5253
"Custer",2001,3730
"Delta",2001,28387
"Denver",2001,563300
"Dolores",2001,1865
"Douglas",2001,199038
"Eagle",2001,44440
"El Paso",2001,536336
"Elbert",2001,21294
"Fremont",2001,46733
"Garfield",2001,45907
"Gilpin",2001,4829
"Grand",2001,13283
"Gunnison",2001,14345
"Hinsdale",2001,804
"Huerfano",2001,7905
"Jackson",2001,1590
"Jefferson",2001,528067
"Kiowa",2001,1606
"Kit Carson",2001,8073
"La Plata",2001,45645
"Lake",2001,7821
"Larimer",2001,260911
"Las Animas",2001,15310
"Lincoln",2001,6076
"Logan",2001,22354
"Mesa",2001,119864
"Mineral",2001,820
"Moffat",2001,13089
"Montezuma",2001,23873
"Montrose",2001,34442
"Morgan",2001,27475
"Otero",2001,19900
"Ouray",2001,3809
"Park",2001,15172
"Phillips",2001,4487
"Pitkin",2001,16184
"Prowers",2001,14109
"Pueblo",2001,143996
"Rio Blanco",2001,5880
"Rio Grande",2001,12406
"Routt",2001,20436
"Saguache",2001,6083
"San Juan",2001,566
"San Miguel",2001,6900
"Sedgwick",2001,2694
"Summit",2001,26293
"Teller",2001,21738
"Washington",2001,4899
"Weld",2001,192482
"Yuma",2001,9831
"Adams",2002,371181
"Alamosa",2002,15266
"Arapahoe",2002,510503
"Archuleta",2002,10700
"Baca",2002,4315
"Bent",2002,6203
"Boulder",2002,284433
"Broomfield",2002,42432
"Chaffee",2002,16646
"Cheyenne",2002,2162
"Clear Creek",2002,9466
"Conejos",2002,8389
"Costilla",2002,3734
"Crowley",2002,5344
"Custer",2002,3783
"Delta",2002,28778
"Denver",2002,559090
"Dolores",2002,1880
"Douglas",2002,209705
"Eagle",2002,45100
"El Paso",2002,545240
"Elbert",2002,21604
"Fremont",2002,46969
"Garfield",2002,46728
"Gilpin",2002,4830
"Grand",2002,13461
"Gunnison",2002,14316
"Hinsdale",2002,806
"Huerfano",2002,7916
"Jackson",2002,1591
"Jefferson",2002,527539
"Kiowa",2002,1566
"Kit Carson",2002,8289
"La Plata",2002,46089
"Lake",2002,7726
"Larimer",2002,266171
"Las Animas",2002,15659
"Lincoln",2002,6047
"Logan",2002,22095
"Mesa",2002,121787
"Mineral",2002,805
"Moffat",2002,13134
"Montezuma",2002,24109
"Montrose",2002,34926
"Morgan",2002,27662
"Otero",2002,19624
"Ouray",2002,3903
"Park",2002,15417
"Phillips",2002,4496
"Pitkin",2002,16101
"Prowers",2002,14011
"Pueblo",2002,146481
"Rio Blanco",2002,5936
"Rio Grande",2002,12409
"Routt",2002,20892
"Saguache",2002,6245
"San Juan",2002,599
"San Miguel",2002,7042
"Sedgwick",2002,2694
"Summit",2002,26514
"Teller",2002,21989
"Washington",2002,5259
"Weld",2002,198975
"Yuma",2002,9947
"Adams",2003,377665
"Alamosa",2003,15360
"Arapahoe",2003,516354
"Archuleta",2003,10964
"Baca",2003,4258
"Bent",2003,6653
"Boulder",2003,282763
"Broomfield",2003,44960
"Chaffee",2003,16794
"Cheyenne",2003,2119
"Clear Creek",2003,9517
"Conejos",2003,8387
"Costilla",2003,3800
"Crowley",2003,5156
"Custer",2003,3934
"Delta",2003,29061
"Denver",2003,560348
"Dolores",2003,1879
"Douglas",2003,221146
"Eagle",2003,45758
"El Paso",2003,551668
"Elbert",2003,21933
"Fremont",2003,46828
"Garfield",2003,47484
"Gilpin",2003,4851
"Grand",2003,13688
"Gunnison",2003,14206
"Hinsdale",2003,784
"Huerfano",2003,8042
"Jackson",2003,1586
"Jefferson",2003,525429
"Kiowa",2003,1548
"Kit Carson",2003,8185
"La Plata",2003,46447
"Lake",2003,7520
"Larimer",2003,268146
"Las Animas",2003,16089
"Lincoln",2003,6052
"Logan",2003,22371
"Mesa",2003,124152
"Mineral",2003,830
"Moffat",2003,13054
"Montezuma",2003,24378
"Montrose",2003,35640
"Morgan",2003,27855
"Otero",2003,19667
"Ouray",2003,3905
"Park",2003,15789
"Phillips",2003,4477
"Pitkin",2003,16275
"Prowers",2003,13822
"Pueblo",2003,147972
"Rio Blanco",2003,5855
"Rio Grande",2003,12619
"Routt",2003,21128
"Saguache",2003,6279
"San Juan",2003,615
"San Miguel",2003,7010
"Sedgwick",2003,2715
"Summit",2003,26706
"Teller",2003,22218
"Washington",2003,5140
"Weld",2003,207157
"Yuma",2003,10093
"Adams",2004,385945
"Alamosa",2004,15406
"Arapahoe",2004,523715
"Archuleta",2004,11171
"Baca",2004,4166
"Bent",2004,6357
"Boulder",2004,283288
"Broomfield",2004,46406
"Chaffee",2004,16946
"Cheyenne",2004,2070
"Clear Creek",2004,9461
"Conejos",2004,8501
"Costilla",2004,3802
"Crowley",2004,5432
"Custer",2004,3984
"Delta",2004,29453
"Denver",2004,560230
"Dolores",2004,1873
"Douglas",2004,233646
"Eagle",2004,46485
"El Paso",2004,558455
"Elbert",2004,22041
"Fremont",2004,46540
"Garfield",2004,48156
"Gilpin",2004,4825
"Grand",2004,13912
"Gunnison",2004,14230
"Hinsdale",2004,831
"Huerfano",2004,7729
"Jackson",2004,1521
"Jefferson",2004,524876
"Kiowa",2004,1523
"Kit Carson",2004,8257
"La Plata",2004,46926
"Lake",2004,7416
"Larimer",2004,273269
"Las Animas",2004,15700
"Lincoln",2004,5907
"Logan",2004,22181
"Mesa",2004,126626
"Mineral",2004,842
"Moffat",2004,13063
"Montezuma",2004,24607
"Montrose",2004,36131
"Morgan",2004,27912
"Otero",2004,19561
"Ouray",2004,4023
"Park",2004,15913
"Phillips",2004,4580
"Pitkin",2004,16077
"Prowers",2004,13656
"Pueblo",2004,148720
"Rio Blanco",2004,5904
"Rio Grande",2004,12824
"Routt",2004,21293
"Saguache",2004,6240
"San Juan",2004,635
"San Miguel",2004,7027
"Sedgwick",2004,2606
"Summit",2004,26707
"Teller",2004,22218
"Washington",2004,5060
"Weld",2004,214069
"Yuma",2004,9885
"Adams",2005,395384
"Alamosa",2005,15395
"Arapahoe",2005,528214
"Archuleta",2005,11402
"Baca",2005,4098
"Bent",2005,6261
"Boulder",2005,282910
"Broomfield",2005,48251
"Chaffee",2005,17022
"Cheyenne",2005,2041
"Clear Creek",2005,9392
"Conejos",2005,8500
"Costilla",2005,3695
"Crowley",2005,5437
"Custer",2005,4045
"Delta",2005,29412
