"MunicipalityName","FIPS_ID","Year","Population"
"Aguilar",760,1980,624
"Akron",925,1980,1716
"Alamosa",1090,1980,6830
"Alma",1530,1980,132
"Antonito",2355,1980,1103
"Arriba",3235,1980,236
"Arvada",3455,1980,84576
"Aspen",3620,1980,3678
"Ault",3950,1980,1056
"Aurora",4000,1980,158588
"Avon",4110,1980,640
"Basalt",4935,1980,529
"Bayfield",5265,1980,724
"Bennett",6090,1980,942
"Berthoud",6255,1980,2362
"Bethune",6530,1980,149
"Black Hawk",7025,1980,232
"Blanca",7190,1980,252
"Blue River",7410,1980,230
"Bonanza City",7571,1980,8
"Boone",7795,1980,431
"Boulder",7850,1980,76685
"Bow Mar",8070,1980,930
"Branson",8345,1980,73
"Breckenridge",8400,1980,818
"Brighton",8675,1980,12773
"Brookside",9115,1980,178
"Broomfield",9280,1980,20730
"Brush",9555,1980,4082
"Buena Vista",10105,1980,2075
"Burlington",10600,1980,3107
"Calhan",11260,1980,541
"Campo",11645,1980,185
"Canon City",11810,1980,13037
"Carbondale",12045,1980,2084
"Castle Rock",12415,1980,3921
"Cedaredge",12635,1980,1184
"Center",12855,1980,1630
"Central City",12910,1980,329
"Cheraw",13460,1980,233
"Cherry Hills Village",13845,1980,5127
"Cheyenne Wells",14175,1980,950
"Coal Creek",15330,1980,190
"Cokedale",15550,1980,90
"Collbran",15605,1980,344
"Colorado Springs",16000,1980,215105
"Columbine Valley",16385,1980,923
"Commerce City",16495,1980,16234
"Cortez",17375,1980,7095
"Craig",17760,1980,8133
"Crawford",17925,1980,268
"Creede",14765,1980,610
"Crested Butte",18310,1980,959
"Crestone",18420,1980,54
"Cripple Creek",18530,1980,655
"Crook",18640,1980,177
"Crowley",18750,1980,192
"Dacono",19080,1980,2321
"De Beque",19355,1980,279
"Deer Trail",19630,1980,463
"Del Norte",19795,1980,1709
"Delta",19850,1980,3931
"Denver",20000,1980,492694
"Dillon",20440,1980,337
"Dinosaur",20495,1980,313
"Dolores",20770,1980,802
"Dove Creek",21265,1980,826
"Durango",22035,1980,11649
"Eads",22145,1980,878
"Eagle",22200,1980,950
"Eaton",22860,1980,1932
"Eckley",23025,1980,262
"Edgewater",23135,1980,4766
"Elizabeth",23740,1980,789
"Empire",24620,1980,423
"Englewood",24785,1980,30021
"Erie",24950,1980,1254
"Estes Park",25115,1980,2703
"Evans",25280,1980,5063
"Fairplay",25610,1980,421
"Federal Heights",26270,1980,7846
"Firestone",26600,1980,1204
"Flagler",26765,1980,550
"Fleming",26875,1980,388
"Florence",27040,1980,2987
"Fort Collins",27425,1980,65092
"Fort Lupton",27700,1980,4251
"Fort Morgan",27810,1980,8768
"Fountain",27865,1980,8324
"Fowler",27975,1980,1227
"Fraser",28305,1980,470
